id,name,lucylink
1001,"Cloth Cap",http://lucy.allakhazam.com/item.html?id=1001
1002,"Cloth Veil",http://lucy.allakhazam.com/item.html?id=1002
1003,"Cloth Choker",http://lucy.allakhazam.com/item.html?id=1003
1004,"Cloth Shirt",http://lucy.allakhazam.com/item.html?id=1004
1005,"Cloth Shawl",http://lucy.allakhazam.com/item.html?id=1005
1006,"Cloth Cape",http://lucy.allakhazam.com/item.html?id=1006
1007,"Cloth Cord",http://lucy.allakhazam.com/item.html?id=1007
1008,"Cloth Sleeves",http://lucy.allakhazam.com/item.html?id=1008
1009,"Cloth Wristband",http://lucy.allakhazam.com/item.html?id=1009
1010,"Cloth Gloves",http://lucy.allakhazam.com/item.html?id=1010
1011,"Cloth Pants",http://lucy.allakhazam.com/item.html?id=1011
1012,"Cloth Sandals",http://lucy.allakhazam.com/item.html?id=1012
1013,"Small Cloth Cap",http://lucy.allakhazam.com/item.html?id=1013
1014,"Small Cloth Veil",http://lucy.allakhazam.com/item.html?id=1014
1015,"Small Cloth Choker",http://lucy.allakhazam.com/item.html?id=1015
1016,"Small Cloth Shirt",http://lucy.allakhazam.com/item.html?id=1016
1017,"Small Cloth Shawl",http://lucy.allakhazam.com/item.html?id=1017
1018,"Small Cloth Cape",http://lucy.allakhazam.com/item.html?id=1018
1019,"Small Cloth Cord",http://lucy.allakhazam.com/item.html?id=1019
1020,"Small Cloth Sleeves",http://lucy.allakhazam.com/item.html?id=1020
1021,"Small Cloth Wristband",http://lucy.allakhazam.com/item.html?id=1021
1022,"Small Cloth Gloves",http://lucy.allakhazam.com/item.html?id=1022
1023,"Small Cloth Pants",http://lucy.allakhazam.com/item.html?id=1023
1024,"Small Cloth Sandals",http://lucy.allakhazam.com/item.html?id=1024
1025,"Large Cloth Cap",http://lucy.allakhazam.com/item.html?id=1025
1026,"Large Cloth Veil",http://lucy.allakhazam.com/item.html?id=1026
1027,"Large Cloth Choker",http://lucy.allakhazam.com/item.html?id=1027
1028,"Large Cloth Shirt",http://lucy.allakhazam.com/item.html?id=1028
1029,"Large Cloth Shawl",http://lucy.allakhazam.com/item.html?id=1029
1030,"Large Cloth Cape",http://lucy.allakhazam.com/item.html?id=1030
1031,"Large Cloth Cord",http://lucy.allakhazam.com/item.html?id=1031
1032,"Large Cloth Sleeves",http://lucy.allakhazam.com/item.html?id=1032
1033,"Large Cloth Wristband",http://lucy.allakhazam.com/item.html?id=1033
1034,"Large Cloth Gloves",http://lucy.allakhazam.com/item.html?id=1034
1035,"Large Cloth Pants",http://lucy.allakhazam.com/item.html?id=1035
1036,"Large Cloth Sandals",http://lucy.allakhazam.com/item.html?id=1036
1037,"Fur Lined Shoes",http://lucy.allakhazam.com/item.html?id=1037
1038,"Tattered Cloth Sandal",http://lucy.allakhazam.com/item.html?id=1038
